NAME,total_units_2000,state_fips,county_fips
"Macon County, Illinois",50241,17,115
"Macoupin County, Illinois",21097,17,117
"Madison County, Illinois",108942,17,119
"Marion County, Illinois",18022,17,121
"Marshall County, Illinois",5914,17,123
"Mason County, Illinois",7033,17,125
"Massac County, Illinois",6951,17,127
"Menard County, Illinois",5285,17,129
"Mercer County, Illinois",7109,17,131
"Monroe County, Illinois",10749,17,133
"Montgomery County, Illinois",12525,17,135
"Morgan County, Illinois",15291,17,137
"Moultrie County, Illinois",5743,17,139
"Ogle County, Illinois",20420,17,141
"Peoria County, Illinois",78204,17,143
"Perry County, Illinois",9457,17,145
"Piatt County, Illinois",6798,17,147
"Pike County, Illinois",8011,17,149
"Pope County, Illinois",2351,17,151
"Pulaski County, Illinois",3353,17,153
"Putnam County, Illinois",2888,17,155
"Randolph County, Illinois",13328,17,157
"Richland County, Illinois",7468,17,159
"Rock Island County, Illinois",64489,17,161
"St. Clair County, Illinois",104446,17,163
"Saline County, Illinois",12360,17,165
"Sangamon County, Illinois",85459,17,167
"Schuyler County, Illinois",3304,17,169
"Scott County, Illinois",2464,17,171
"Shelby County, Illinois",10060,17,173
"Stark County, Illinois",2725,17,175
"Stephenson County, Illinois",21713,17,177
"Tazewell County, Illinois",52973,17,179
"Union County, Illinois",7894,17,181
"Vermilion County, Illinois",36349,17,183
"Wabash County, Illinois",5758,17,185
"Warren County, Illinois",7787,17,187
"Washington County, Illinois",6385,17,189
"Wayne County, Illinois",7950,17,191
"White County, Illinois",7393,17,193
"Whiteside County, Illinois",25025,17,195
"Will County, Illinois",175524,17,197
"Williamson County, Illinois",27703,17,199
"Winnebago County, Illinois",114404,17,201
"Woodford County, Illinois",13487,17,203
"Adams County, Indiana",12404,18,001
"Allen County, Indiana",138905,18,003
"Bartholomew County, Indiana",29853,18,005
"Benton County, Indiana",3818,18,007
"Blackford County, Indiana",6155,18,009
"Boone County, Indiana",17929,18,011
"Brown County, Indiana",7163,18,013
"Carroll County, Indiana",8675,18,015
"Cass County, Indiana",16620,18,017
"Clark County, Indiana",41176,18,019
"Clay County, Indiana",11097,18,021
"Clinton County, Indiana",13267,18,023
"Crawford County, Indiana",5138,18,025
"Daviess County, Indiana",11898,18,027
"Dearborn County, Indiana",17791,18,029
"Decatur County, Indiana",9992,18,031
"DeKalb County, Indiana",16144,18,033
"Delaware County, Indiana",51032,18,035
"Dubois County, Indiana",15511,18,037
"Elkhart County, Indiana",69791,18,039
"Fayette County, Indiana",10981,18,041
"Floyd County, Indiana",29087,18,043
"Fountain County, Indiana",7692,18,045
"Franklin County, Indiana",8596,18,047
"Fulton County, Indiana",9123,18,049
"Gibson County, Indiana",14125,18,051
"Grant County, Indiana",30560,18,053
